      100.00      150.00        0.00        0.00
      100.00      100.00        0.00        0.00
      100.00      200.00        0.00        0.00
      100.00      172.10        0.00        0.00
      100.00      166.64        0.00        0.00
       30.00        0.00       15.00        0.00      113.92       15.06       66.02
       30.00        0.00       25.00        0.00       90.72       11.63       34.65
       30.00       25.00       30.00        5.00      150.00       34.75       73.90
       30.00       45.00       30.00       10.00      120.10       12.07       64.83
       30.00       70.00       30.00       20.00      114.64        8.11       63.25
      135.08       33.98
      108.28       15.35
      148.00       26.10
      150.00       35.17
      150.00       36.75
      100.00        0.00
       50.00        0.00
      100.00        0.00
      100.00        0.00
      100.00        0.00
