      250.00       35.00     3315.00
      200.00       21.00      239.00
      300.00       69.60    18284.00
      272.10       30.00     6219.44
      266.64        0.00    17918.48
      240.00       35.00    12375.00
      192.00       21.00     5003.00
      348.65       90.00    13841.72
      312.00       39.57    25490.66
      336.00       42.82    33783.18
      169.06       35.00     6700.00
      123.63       21.00     3216.00
      174.10       78.00     7184.28
      185.17       49.00    15129.15
      186.75       85.00    18377.97
      100.00       35.00      500.00
       50.00       21.00     -450.00
      100.00       85.20     5686.80
      100.00       43.34     1288.71
      100.00       59.69     5832.07
